Geography_3,Geography_3_description,Geography_2,Geography_2_description,Geography_1,Geography_1_description,Metric_description,Product_description,Time_2,Time_2_description,Time_1,Time_1_description,value
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,3395.56
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,1291.62
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,1461.0
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,2077.79
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Apr,Apr,2023,2023,4108.85
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,3374.37
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,1941.74
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,1388.8400000000006
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,3831.72
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Aug,Aug,2023,2023,1759.84
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,4138.94
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,1658.12
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,1263.67
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,2855.49
N-AM_Reserve_3,<Reserve>,N-AM,North America,Global,Global,Revenue,Electronics,Dec,Dec,2023,2023,2730.24
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,5826.23
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,2161.06
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,1143.7300000000002
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,1657.55
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,1523.95
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,6121.88
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,929.49
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,1801.1700000000005
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,3327.68
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,4111.81
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,5165.19
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,989.13
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,674.0400000000002
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,2019.82
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,3287.94
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,5349.33
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,1887.22
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,1038.8200000000002
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,2339.02
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,2906.33
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,3194.72
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,842.77
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,630.8699999999999
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,2654.07
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,3266.94
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,May,May,2023,2023,2250.76
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,May,May,2023,2023,1105.21
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,May,May,2023,2023,1067.13
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,May,May,2023,2023,1533.6
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,May,May,2023,2023,1354.0
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,6004.93
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,2703.43
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,1916.3999999999996
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,4916.06
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,2644.32
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,5798.19
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,2515.77
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,1224.7199999999993
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,4545.81
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,4203.08
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,5379.9
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,1974.44
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,1389.6100000000001
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,3241.39
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,3102.7
N-AM_Reserve_3,<Reserve>,N-AM,North America,Global,Global,Revenue,Electronics,2023_Reserve_2,<Reserve>,2023,2023,-2730.24
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,2023_Reserve_2,<Reserve>,2023,2023,2730.2399999999993
